Engine commit: ae55ebe32
Games: 1087 total, 0 done, 1087 to run
Workers: 10 (cores=11, avail_mem=7.6GB, peak_rss=321MB)
  [323/1087] 2022_03_PHI_WAS: 83.1s, 4 iter
  [324/1087] 2022_03_PIT_CLE: 79.0s, 4 iter
  [325/1087] 2022_04_DEN_LV: 75.8s, 4 iter
  [326/1087] 2022_04_KC_TB: 58.6s, 3 iter
  [327/1087] 2022_04_JAX_PHI: 84.1s, 4 iter
  [328/1087] 2022_04_LAC_HOU: 59.6s, 3 iter
  [329/1087] 2022_04_MIN_NO: 60.8s, 3 iter
  [330/1087] 2022_04_TEN_IND: 39.1s, 2 iter
  [331/1087] 2022_04_NYJ_PIT: 59.6s, 3 iter
  [332/1087] 2022_04_LA_SF: 79.9s, 4 iter
  [333/1087] 2022_04_SEA_DET: 59.1s, 3 iter
  [334/1087] 2022_04_MIA_CIN: 75.3s, 4 iter
  [335/1087] 2022_04_NE_GB: 76.6s, 4 iter
  [336/1087] 2022_04_WAS_DAL: 58.0s, 3 iter
  [337/1087] 2022_05_ATL_TB: 58.2s, 3 iter
  [338/1087] 2022_05_CIN_BAL: 38.3s, 2 iter
  [339/1087] 2022_05_CHI_MIN: 61.9s, 3 iter
  [340/1087] 2022_05_HOU_JAX: 40.4s, 2 iter
  [341/1087] 2022_05_LV_KC: 40.9s, 2 iter
  [342/1087] 2022_05_DAL_LA: 62.2s, 3 iter
  [343/1087] 2022_05_DET_NE: 61.2s, 3 iter
  [344/1087] 2022_05_MIA_NYJ: 41.2s, 2 iter
  [345/1087] 2022_05_IND_DEN: 60.5s, 3 iter
  [346/1087] 2022_05_LAC_CLE: 62.2s, 3 iter
  [347/1087] 2022_05_NYG_GB: 39.6s, 2 iter
  [348/1087] 2022_05_PHI_ARI: 42.5s, 2 iter
  [349/1087] 2022_05_PIT_BUF: 63.9s, 3 iter
  [350/1087] 2022_06_BAL_NYG: 40.7s, 2 iter
  [351/1087] 2022_06_BUF_KC: 41.0s, 2 iter
  [352/1087] 2022_05_SEA_NO: 64.4s, 3 iter
  [353/1087] 2022_06_CIN_NO: 40.8s, 2 iter
  [354/1087] 2022_05_TEN_WAS: 56.7s, 3 iter
  [355/1087] 2022_06_ARI_SEA: 62.8s, 3 iter
  [356/1087] 2022_06_CAR_LA: 61.7s, 3 iter
  [357/1087] 2022_05_SF_CAR: 80.7s, 4 iter
  [358/1087] 2022_06_DAL_PHI: 62.5s, 3 iter
  [359/1087] 2022_06_NYJ_GB: 36.7s, 2 iter
  [360/1087] 2022_06_DEN_LAC: 61.5s, 3 iter
  [361/1087] 2022_06_MIN_MIA: 61.8s, 3 iter
  [362/1087] 2022_06_JAX_IND: 65.3s, 3 iter
  [363/1087] 2022_07_ATL_CIN: 43.5s, 2 iter
  [364/1087] 2022_06_SF_ATL: 62.5s, 3 iter
  [365/1087] 2022_06_WAS_CHI: 66.2s, 3 iter
  [366/1087] 2022_06_NE_CLE: 89.6s, 4 iter
  [367/1087] 2022_07_CHI_NE: 72.3s, 3 iter
  [368/1087] 2022_07_HOU_LV: 46.2s, 2 iter
  [369/1087] 2022_06_TB_PIT: 93.0s, 4 iter
  [370/1087] 2022_07_DET_DAL: 66.3s, 3 iter
  [371/1087] 2022_07_GB_WAS: 62.9s, 3 iter
  [372/1087] 2022_07_CLE_BAL: 89.3s, 4 iter
  [373/1087] 2022_07_IND_TEN: 63.5s, 3 iter
  [374/1087] 2022_07_NYG_JAX: 42.5s, 2 iter
  [375/1087] 2022_07_KC_SF: 65.1s, 3 iter
  [376/1087] 2022_07_NO_ARI: 64.6s, 3 iter
  [377/1087] 2022_07_SEA_LAC: 41.3s, 2 iter
  [378/1087] 2022_07_NYJ_DEN: 59.8s, 3 iter
  [379/1087] 2022_08_BAL_TB: 39.7s, 2 iter
  [380/1087] 2022_08_CIN_CLE: 40.6s, 2 iter
  [381/1087] 2022_08_ARI_MIN: 61.8s, 3 iter
  [382/1087] 2022_07_TB_CAR: 63.1s, 3 iter
  [383/1087] 2022_07_PIT_MIA: 79.3s, 4 iter
  [384/1087] 2022_08_GB_BUF: 38.4s, 2 iter
  [385/1087] 2022_08_CAR_ATL: 60.8s, 3 iter
  [386/1087] 2022_08_DEN_JAX: 40.4s, 2 iter
  [387/1087] 2022_08_CHI_DAL: 61.9s, 3 iter
  [388/1087] 2022_08_LV_NO: 40.5s, 2 iter
  [389/1087] 2022_08_MIA_DET: 58.1s, 3 iter
  [390/1087] 2022_08_TEN_HOU: 38.3s, 2 iter
  [391/1087] 2022_08_WAS_IND: 41.0s, 2 iter
  [392/1087] 2022_09_BUF_NYJ: 40.7s, 2 iter
  [393/1087] 2022_08_NE_NYJ: 61.7s, 3 iter
  [394/1087] 2022_08_PIT_PHI: 62.8s, 3 iter
  [395/1087] 2022_08_NYG_SEA: 63.6s, 3 iter
  [396/1087] 2022_08_SF_LA: 60.6s, 3 iter
  [397/1087] 2022_09_BAL_NO: 60.0s, 3 iter
  [398/1087] 2022_09_CAR_CIN: 60.5s, 3 iter
  [399/1087] 2022_09_LA_TB: 40.5s, 2 iter
  [400/1087] 2022_09_GB_DET: 55.7s, 3 iter
  [401/1087] 2022_09_MIA_CHI: 37.9s, 2 iter
  [402/1087] 2022_09_IND_NE: 61.4s, 3 iter
  [403/1087] 2022_09_SEA_ARI: 39.1s, 2 iter
  [404/1087] 2022_09_LAC_ATL: 59.1s, 3 iter
  [405/1087] 2022_09_LV_JAX: 56.5s, 3 iter
  [406/1087] 2022_09_MIN_WAS: 54.7s, 3 iter
  [407/1087] 2022_09_PHI_HOU: 55.2s, 3 iter
  [408/1087] 2022_10_CLE_MIA: 32.0s, 2 iter
  [409/1087] 2022_10_DAL_GB: 30.9s, 2 iter
  [410/1087] 2022_10_DET_CHI: 32.0s, 2 iter
  [411/1087] 2022_09_TEN_KC: 66.5s, 4 iter
  [412/1087] 2022_10_ATL_CAR: 48.2s, 3 iter
  [413/1087] 2022_10_DEN_TEN: 46.2s, 3 iter
  [414/1087] 2022_10_ARI_LA: 67.2s, 4 iter
  [415/1087] 2022_10_HOU_NYG: 46.2s, 3 iter
  [416/1087] 2022_10_IND_LV: 48.4s, 3 iter
  [417/1087] 2022_10_SEA_TB: 33.2s, 2 iter
  [418/1087] 2022_10_WAS_PHI: 32.0s, 2 iter
