game_pk,date,season,home_team,away_team,home_score,away_score,actual_total,actual_f5_total,park_factor_runs,temperature,wind_speed,wind_direction,home_rest_days,away_rest_days,umpire_over_rate,innings_played,completed_early,total_line,total_over_price,total_under_price,f5_line,late_implied,f5_ratio,actual_late_runs,actual_f5_share,path_state,fg_over,fg_under,fg_push,path_error,fg_error,home_sp_avg_ip,home_sp_fip,home_sp_ip_std,home_sp_k_rate,away_sp_avg_ip,away_sp_fip,away_sp_ip_std,away_sp_k_rate,home_bp_era,away_bp_era,sp_length_diff,bp_quality_diff,sp_fragility_max,sp_fragility_avg,sp_avg_ip_min,bp_era_avg,sp_fip_avg,sp_fip_max,split
718284,2023-05-06,2023,PHI,BOS,4,7,11,8.0,104,65.9,3.3,318.0,1,1,0.975,9,False,9.0,-110.0,-110.0,5.5,3.5,0.6111111111111112,3.0,0.7272727272727273,EARLY_HEAVY,1,0,0,-0.5,2.0,,,,,,,,,,,,,,,,,,,discovery
718283,2023-05-06,2023,ATL,BAL,5,4,9,5.0,102,72.5,6.8,128.0,1,1,1.025,9,False,8.0,-115.0,-105.0,4.5,3.5,0.5625,4.0,0.5555555555555556,BALANCED,1,0,0,0.5,1.0,,,,,,,,,,,,,,,,,,,discovery
718283,2023-05-06,2023,ATL,BAL,5,4,9,5.0,102,72.5,6.8,128.0,1,1,1.025,9,False,9.5,-110.0,-110.0,4.5,5.0,0.47368421052631576,4.0,0.5555555555555556,ELEVATED_LATE,0,1,0,-1.0,-0.5,,,,,,,,,,,,,,,,,,,discovery
718287,2023-05-06,2023,SFG,MIL,4,1,5,3.0,96,56.7,15.8,243.0,1,1,1.021,9,False,8.5,-115.0,-105.0,4.5,4.0,0.5294117647058824,2.0,0.6,BALANCED,0,1,0,-2.0,-3.5,,,,,,,,,,,,,,,,,,,discovery
718282,2023-05-06,2023,ARI,WSN,8,7,15,3.0,98,72.0,0.0,0.0,1,1,1.0,9,False,9.5,-105.0,-115.0,5.0,4.5,0.5263157894736842,12.0,0.2,ELEVATED_LATE,1,0,0,7.5,5.5,,,,,,,,,,,,,,,,,,,discovery
718282,2023-05-06,2023,ARI,WSN,8,7,15,3.0,98,72.0,0.0,0.0,1,1,1.0,9,False,9.0,-105.0,-115.0,5.0,4.0,0.5555555555555556,12.0,0.2,BALANCED,1,0,0,8.0,6.0,,,,,,,,,,,,,,,,,,,discovery
718279,2023-05-06,2023,SDP,LAD,1,2,3,2.0,95,63.0,12.0,284.0,1,1,1.0,9,False,8.5,-115.0,-105.0,4.5,4.0,0.5294117647058824,1.0,0.6666666666666666,BALANCED,0,1,0,-3.0,-5.5,,,,,,,,,,,,,,,,,,,discovery
718279,2023-05-06,2023,SDP,LAD,1,2,3,2.0,95,63.0,12.0,284.0,1,1,1.0,9,False,8.0,-115.0,-105.0,4.5,3.5,0.5625,1.0,0.6666666666666666,BALANCED,0,1,0,-2.5,-5.0,,,,,,,,,,,,,,,,,,,discovery
718275,2023-05-06,2023,LAA,TEX,1,10,11,3.0,97,63.8,9.2,236.0,1,1,1.0,9,False,8.5,-115.0,-105.0,4.5,4.0,0.5294117647058824,8.0,0.2727272727272727,BALANCED,1,0,0,4.0,2.5,,,,,,,,,,,,,,,,,,,discovery
718275,2023-05-06,2023,LAA,TEX,1,10,11,3.0,97,63.8,9.2,236.0,1,1,1.0,9,False,9.5,-115.0,-105.0,4.5,5.0,0.47368421052631576,8.0,0.2727272727272727,ELEVATED_LATE,1,0,0,3.0,1.5,,,,,,,,,,,,,,,,,,,discovery
