game_pk,game_date,fastball_dom,open_line_6am,benchmark_line_noon,line_move_6am_to_noon,actual_total,year,signal_type,signal_market,down_move_05
777252,2025-07-04,1,8.5,9.0,0.5,5,2025,APPROX_UNDER,totals_under,0
777248,2025-07-04,0,8.0,8.0,0.0,12,2025,APPROX_UNDER,totals_under,0
777223,2025-07-05,0,8.5,8.0,-0.5,11,2025,APPROX_UNDER,totals_under,1
777213,2025-07-06,1,8.5,8.0,-0.5,10,2025,APPROX_UNDER,totals_under,1
777206,2025-07-06,0,9.0,9.0,0.0,6,2025,APPROX_UNDER,totals_under,0
777193,2025-07-08,0,8.5,8.5,0.0,4,2025,APPROX_UNDER,totals_under,0
777182,2025-07-09,0,8.0,8.0,0.0,10,2025,APPROX_UNDER,totals_under,0
777162,2025-07-09,0,8.0,8.0,0.0,10,2025,APPROX_UNDER,totals_under,0
777159,2025-07-10,0,9.5,10.0,0.5,15,2025,APPROX_UNDER,totals_under,0
777157,2025-07-11,0,9.0,9.0,0.0,7,2025,APPROX_UNDER,totals_under,0
777145,2025-07-12,0,8.0,8.0,0.0,22,2025,APPROX_UNDER,totals_under,0
777144,2025-07-12,1,8.0,8.0,0.0,1,2025,APPROX_UNDER,totals_under,0
777131,2025-07-12,0,8.5,8.5,0.0,15,2025,APPROX_UNDER,totals_under,0
777108,2025-07-18,0,8.5,8.5,0.0,4,2025,APPROX_UNDER,totals_under,0
777111,2025-07-18,0,8.0,7.5,-0.5,12,2025,APPROX_UNDER,totals_under,1
777094,2025-07-19,0,8.0,8.0,0.0,9,2025,APPROX_UNDER,totals_under,0
777081,2025-07-19,0,8.5,8.5,0.0,11,2025,APPROX_UNDER,totals_under,0
777085,2025-07-19,0,9.0,8.5,-0.5,15,2025,APPROX_UNDER,totals_under,1
777072,2025-07-20,0,10.5,10.5,0.0,8,2025,APPROX_UNDER,totals_under,0
777071,2025-07-20,0,9.0,9.0,0.0,8,2025,APPROX_UNDER,totals_under,0
777065,2025-07-21,0,8.0,7.5,-0.5,16,2025,APPROX_UNDER,totals_under,1
777045,2025-07-22,0,8.5,8.5,0.0,5,2025,APPROX_UNDER,totals_under,0
777026,2025-07-23,0,8.5,8.5,0.0,5,2025,APPROX_UNDER,totals_under,0
777037,2025-07-23,0,8.0,7.5,-0.5,5,2025,APPROX_UNDER,totals_under,1
777041,2025-07-23,0,8.0,7.5,-0.5,12,2025,APPROX_UNDER,totals_under,1
777032,2025-07-23,0,8.5,8.5,0.0,7,2025,APPROX_UNDER,totals_under,0
777038,2025-07-23,0,8.5,8.5,0.0,17,2025,APPROX_UNDER,totals_under,0
777012,2025-07-25,0,10.0,9.5,-0.5,7,2025,APPROX_UNDER,totals_under,1
